Subject,Experiment,Classifier,Mean Accuracy (%),Std (%),Minimum (%),Maximum (%)
A01,baseline,LDA,81.2562,5.7398,72.4138,86.2069
A01,baseline,SVM,81.9704,7.4105,72.4138,89.6552
A01,baseline,Logistic Regression,81.9704,6.5593,72.4138,89.6552
A02,baseline,LDA,62.4631,6.8913,55.1724,72.4138
A02,baseline,SVM,64.5813,2.8639,62.0690,68.9655
A02,baseline,Logistic Regression,65.2709,2.4997,62.0690,68.9655
A03,baseline,LDA,95.8621,4.4960,89.6552,100.0000
A03,baseline,SVM,94.4581,1.8555,93.1034,96.5517
A03,baseline,Logistic Regression,95.8374,3.7722,89.6552,100.0000
A04,baseline,LDA,68.1527,9.9531,55.1724,82.1429
A04,baseline,SVM,69.5567,9.9710,58.6207,85.7143
A04,baseline,Logistic Regression,70.9113,10.0550,55.1724,82.1429
A05,baseline,LDA,60.3448,8.4465,50.0000,68.9655
A05,baseline,SVM,61.0345,10.0238,50.0000,72.4138
A05,baseline,Logistic Regression,62.4138,10.0829,50.0000,75.8621
A06,baseline,LDA,65.9606,6.6875,58.6207,75.8621
A06,baseline,SVM,64.5567,9.0500,55.1724,79.3103
A06,baseline,Logistic Regression,66.6010,9.0257,57.1429,79.3103
A07,baseline,LDA,81.2315,12.6103,62.0690,96.5517
A07,baseline,SVM,79.1379,12.4985,62.0690,96.5517
A07,baseline,Logistic Regression,79.1379,12.4985,62.0690,96.5517
A08,baseline,LDA,96.5517,2.4383,93.1034,100.0000
A08,baseline,SVM,97.2414,2.8850,93.1034,100.0000
A08,baseline,Logistic Regression,97.2414,2.8850,93.1034,100.0000
A09,baseline,LDA,72.9310,5.5735,65.5172,79.3103
A09,baseline,SVM,65.9360,8.0623,58.6207,79.3103
A09,baseline,Logistic Regression,71.5271,6.1567,65.5172,79.3103
